https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,業種,申請者2,施設-電話番号1,確認番号,開業年月日,許可年月日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,,施設所在地,,,営業者氏名,営業の種類,代表者氏名,施設電話番号,許可番号,初回許可日,許可年月日,許可満了日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
すし銚子丸　南大泉店,東京都,練馬区南大泉二丁目１番６号,練馬区南大泉２丁目１番６号,,株式会社銚子丸,飲食店営業,石田満,5935-2400,3練健生石食第22015号,2021/12/14,2021/12/14,2027/12/31,,199,すし銚子丸　南大泉店,03,03-5935-2400,,,,東京都　練馬区南大泉２丁目１番６号,東京都練馬区南大泉２丁目１番６号,,75317,13,13120,南大泉２,,2021/12/14,2021/12/14,,2027/12/31,株式会社銚子丸,石田満,,,,,,,,,3練健生石食第22015号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,すし銚子丸南大泉店03-5935-24007531713120,977700f3-4549-4dbc-b088-b664da6bfea3,株式会社銚子丸,58d01a24-b2b6-4092-85bd-d13395423135,b442b1bb-8b8b-4220-b8cf-a5ea83565427,2021/12/14,すし銚子丸　南大泉店,すし銚子丸南大泉店,株式会社銚子丸
橋戸の丘,東京都,練馬区大泉町二丁目９番３７号,練馬区大泉町２丁目９番３７号,,社会福祉法人　練馬区社会福祉事業団,集団給食施設,福島敏彦,03-5947-6621,3練健生石食第22058号,2021/12/28,2021/12/28,,,199,橋戸の丘,03,03-5947-6621,,,,東京都　練馬区大泉町２丁目９番３７号,東京都練馬区大泉町２丁目９番３７号,,75337,13,13120,大泉町２,,2021/12/28,2021/12/28,,,社会福祉法人　練馬区社会福祉事業団,福島敏彦,,,,,,,,,3練健生石食第22058号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,橋戸の丘03-5947-66217533713120,743d1488-b6e8-4f53-a012-d565e44a2ce2,社会福祉法人練馬区社会福祉事業団,c17c5ca5-94cb-4f56-87d1-e6939724d07d,43bb7c55-7f34-415d-926f-bb7903e50b99,2021/12/28,橋戸の丘,橋戸の丘,社会福祉法人練馬区社会福祉事業団
ローソン練馬大泉町三丁目店,東京都,練馬区大泉町三丁目３２番１０号,練馬区大泉町３丁目３２番１０号,,クオール株式会社,コンビニエンスストア,柄澤忍,,3練健生石食第22011号,2021/12/6,2021/12/6,,,199,ローソン練馬大泉町三丁目店,03,,,,,東京都　練馬区大泉町３丁目３２番１０号,東京都練馬区大泉町３丁目３２番１０号,,75338,13,13120,大泉町３,,2021/12/06,2021/12/06,,,クオール株式会社,柄澤忍,,,,,,,,,3練健生石食第22011号,,コンビニエンスストア,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,589,5891,ロソン練馬大泉町三丁目店7533813120,096322e4-6dfb-4ba6-8d41-ef987c027b03,クオール株式会社,9a041f8c-aff2-42c0-ab8f-f572512e95cc,e2b31235-04a1-417e-bbe4-a8e0fe216a2b,2021/12/06,ローソン練馬大泉町三丁目店,ロソン練馬大泉町三丁目店,クオール株式会社
すし銚子丸　大泉インター店,東京都,練馬区大泉町五丁目１番１号,練馬区大泉町５丁目１番１号,,株式会社銚子丸,飲食店営業,石田満,5933-3210,3練健生石食第22014号,2021/12/16,2021/12/16,2028/12/31,,199,すし銚子丸　大泉インター店,03,03-5933-3210,,,,東京都　練馬区大泉町５丁目１番１号,東京都練馬区大泉町５丁目１番１号,,75340,13,13120,大泉町５,,2021/12/16,2021/12/16,,2028/12/31,株式会社銚子丸,石田満,,,,,,,,,3練健生石食第22014号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,すし銚子丸大泉インタ店03-5933-32107534013120,fac374e5-5210-49da-b060-b984f79d9a7a,株式会社銚子丸,58d01a24-b2b6-4092-85bd-d13395423135,c0a6e02f-b70c-4371-97a0-383d23a9a472,2021/12/16,すし銚子丸　大泉インター店,すし銚子丸大泉インタ店,株式会社銚子丸
びっくりドンキー大泉学園店,東京都,練馬区大泉学園町一丁目７番１６号,練馬区大泉学園町１丁目７番１６号,,株式会社アレフ,米穀類販売業,庄司大,03-5387-7228,3練健生石食第22009号,2021/12/6,2021/12/6,,,199,びっくりドンキー大泉学園店,03,03-5387-7228,,,,東京都　練馬区大泉学園町１丁目７番１６号,東京都練馬区大泉学園町１丁目７番１６号,,75166,13,13120,大泉学園町１,,2021/12/06,2021/12/06,,,株式会社アレフ,庄司大,,,,,,,,,3練健生石食第22009号,,米穀類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,589,5896,びっくりドンキ大泉学園店03-5387-72287516613120,d8323e8c-df2b-4cc6-9289-f2bca109ec32,株式会社アレフ,80557570-1c8e-49ae-9629-b4542d279047,15b01e46-9421-4ce8-9fc6-2b654c53fb91,2021/12/06,びっくりドンキー大泉学園店,びっくりドンキ大泉学園店,株式会社アレフ
びっくりドンキー大泉学園店,東京都,練馬区大泉学園町一丁目７番１６号,練馬区大泉学園町１丁目７番１６号,,株式会社アレフ,その他の食料・飲料販売業,庄司大,03-5387-7228,3練健生石食第22010号,2021/12/6,2021/12/6,,,199,びっくりドンキー大泉学園店,03,03-5387-7228,,,,東京都　練馬区大泉学園町１丁目７番１６号,東京都練馬区大泉学園町１丁目７番１６号,,75166,13,13120,大泉学園町１,,2021/12/06,2021/12/06,,,株式会社アレフ,庄司大,,,,,,,,,3練健生石食第22010号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,びっくりドンキ大泉学園店03-5387-72287516613120,d8323e8c-df2b-4cc6-9289-f2bca109ec32,株式会社アレフ,80557570-1c8e-49ae-9629-b4542d279047,6e1cabce-1a95-410f-a4ce-6a4f1256c3fa,2021/12/06,びっくりドンキー大泉学園店,びっくりドンキ大泉学園店,株式会社アレフ
丸源ラーメン　大泉学園店,東京都,練馬区大泉学園町一丁目２９番８号,練馬区大泉学園町１丁目２９番８号,,株式会社物語コーポレーション,その他の食料・飲料販売業,加藤央之,,3練健生石食第22000号,2021/12/1,2021/12/1,,,199,丸源ラーメン　大泉学園店,03,,,,,東京都　練馬区大泉学園町１丁目２９番８号,東京都練馬区大泉学園町１丁目２９番８号,,75166,13,13120,大泉学園町１,,2021/12/01,2021/12/01,,,株式会社物語コーポレーション,加藤央之,,,,,,,,,3練健生石食第22000号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,丸源ラメン大泉学園店7516613120,378690c6-2cf4-44e2-870d-8c35b6796d1c,株式会社物語コーポレーション,e28f0fd3-87c9-467d-8961-1705773a3189,d4bed06a-c218-462c-8244-47addcd64ce4,2021/12/01,丸源ラーメン　大泉学園店,丸源ラメン大泉学園店,株式会社物語コーポレーション
グッドタイムナーシングホーム・大泉学園,東京都,練馬区大泉学園町二丁目１１番６号,練馬区大泉学園町２丁目１１番６号,,株式会社　創生事業団,集団給食施設,島田武史,0359476301,3練健生石食第22057号,2021/12/28,2021/12/28,,,199,グッドタイムナーシングホーム・大泉学園,03,03-5947-6301,,,,東京都　練馬区大泉学園町２丁目１１番６号,東京都練馬区大泉学園町２丁目１１番６号,,75167,13,13120,大泉学園町２,,2021/12/28,2021/12/28,,,株式会社　創生事業団,島田武史,,,,,,,,,3練健生石食第22057号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,グッドタイムナシングホム大泉学園03-5947-63017516713120,152a0fa7-cb73-4f4a-9f48-0a9461083286,株式会社創生事業団,ff73223a-df7d-428d-9171-e41106b27489,78569198-cf4d-402e-a381-31994789c68d,2021/12/28,グッドタイムナーシングホーム・大泉学園,グッドタイムナシングホム大泉学園,株式会社創生事業団
ベストライフ大泉学園,東京都,練馬区大泉学園町四丁目２１番１０号,練馬区大泉学園町４丁目２１番１０号,,株式会社アスモフードサービス中日本,飲食店営業,藤田純一,3921-3019,3練健生石食第21922号,2021/12/10,2021/12/10,2028/12/31,,199,ベストライフ大泉学園,03,03-3921-3019,,,,東京都　練馬区大泉学園町４丁目２１番１０号,東京都練馬区大泉学園町４丁目２１番１０号,,75169,13,13120,大泉学園町４,,2021/12/10,2021/12/10,,2028/12/31,株式会社アスモフードサービス中日本,藤田純一,,,,,,,,,3練健生石食第21922号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ベストライフ大泉学園03-3921-30197516913120,8a2a76dc-630d-4fab-91ff-5b24012d65af,株式会社アスモフードサービス中日本,253d11b3-74dc-4708-936c-493996d7509a,75d98b33-6c0c-4134-ad83-a384d24923cd,2021/12/10,ベストライフ大泉学園,ベストライフ大泉学園,株式会社アスモフードサービス中日本
Ｈａｒｕｋａ＇ｓ　Ｏｖｅｎ,東京都,練馬区大泉学園町六丁目１７番２２号,練馬区大泉学園町６丁目１７番２２号,,北村永,その他の食料品製造・加工業,,,3練健生石食第22038号,2021/12/17,2021/12/17,,,199,Ｈａｒｕｋａ＇ｓ　Ｏｖｅｎ,03,,,,,東京都　練馬区大泉学園町６丁目１７番２２号,東京都練馬区大泉学園町６丁目１７番２２号,,75171,13,13120,大泉学園町６,,2021/12/17,2021/12/17,,,,北村永 ,,,,,,,,,3練健生石食第22038号,,その他の食料品製造・加工業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ＨａｒｕｋａｓＯｖｅｎ7517113120,2943023e-8917-406e-b14d-f3b1d5c4cf4a,,personal,a613ed0c-2a74-42e4-8d67-7a03ffde3388,2021/12/17,Ｈａｒｕｋａ＇ｓ　Ｏｖｅｎ,ＨａｒｕｋａｓＯｖｅｎ,
リーシェガーデン大泉学園,東京都,練馬区大泉学園町七丁目１０番２１号,練馬区大泉学園町７丁目１０番２１号,,株式会社アイ・フーズ,飲食店営業,和澄孝男,,3練健生石食第22032号,2021/12/24,2021/12/24,2028/12/31,,199,リーシェガーデン大泉学園,03,,,,,東京都　練馬区大泉学園町７丁目１０番２１号,東京都練馬区大泉学園町７丁目１０番２１号,,75172,13,13120,大泉学園町７,,2021/12/24,2021/12/24,,2028/12/31,株式会社アイ・フーズ,和澄孝男,,,,,,,,,3練健生石食第22032号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,リシェガデン大泉学園7517213120,88c762cb-3066-461b-896c-b5840611eed5,株式会社アイ・フーズ,92ac5c63-4141-480c-8b12-47edcd8155f0,8aad2c49-a6cd-496d-8b83-fd738b5a64f6,2021/12/24,リーシェガーデン大泉学園,リシェガデン大泉学園,株式会社アイ・フーズ
パブホワイト,東京都,練馬区大泉学園町八丁目２９番８号,練馬区大泉学園町８丁目２９番８号,,関口カネ,飲食店営業,,3924-2313,3練健生石食第22020号,2021/12/10,2021/12/10,2027/12/31,,199,パブホワイト,03,03-3924-2313,,,,東京都　練馬区大泉学園町８丁目２９番８号,東京都練馬区大泉学園町８丁目２９番８号,,75173,13,13120,大泉学園町８,,2021/12/10,2021/12/10,,2027/12/31,,関口カネ ,,,,,,,,,3練健生石食第22020号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,パブホワイト03-3924-23137517313120,60614a67-a02c-4fae-baf1-4861ed72afae,,personal,18656136-bf28-4190-906f-1c8467c4e2e6,2021/12/10,パブホワイト,パブホワイト,
練馬福祉園　陽だまり,東京都,練馬区大泉学園町九丁目４番１号,練馬区大泉学園町９丁目４番１号,,社会福祉法人武蔵野会,飲食店営業,高橋信夫,3978-5141,3練健生石食第22017号,2021/12/10,2021/12/10,2027/12/31,,199,練馬福祉園　陽だまり,03,03-3978-5141,,,,東京都　練馬区大泉学園町９丁目４番１号,東京都練馬区大泉学園町９丁目４番１号,,75174,13,13120,大泉学園町９,,2021/12/10,2021/12/10,,2027/12/31,社会福祉法人武蔵野会,高橋信夫,,,,,,,,,3練健生石食第22017号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,練馬福祉園陽だまり03-3978-51417517413120,af325272-93a5-4c24-934d-731c670b928f,社会福祉法人武蔵野会,3fed2868-2d58-401b-85c2-72fa82b753aa,36bdf552-b99e-40f5-a65f-533447da7b17,2021/12/10,練馬福祉園　陽だまり,練馬福祉園陽だまり,社会福祉法人武蔵野会
練馬福祉園クッキング班,東京都,練馬区大泉学園町九丁目４番１号,練馬区大泉学園町９丁目４番１号,,社会福祉法人武蔵野会,菓子製造業,高橋信夫,3978-5141,3練健生石食第22016号,2021/12/10,2021/12/10,2027/12/31,,199,練馬福祉園クッキング班,03,03-3978-5141,,,,東京都　練馬区大泉学園町９丁目４番１号,東京都練馬区大泉学園町９丁目４番１号,,75174,13,13120,大泉学園町９,,2021/12/10,2021/12/10,,2027/12/31,社会福祉法人武蔵野会,高橋信夫,,,,,,,,,3練健生石食第22016号,,菓子製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,練馬福祉園クッキング班03-3978-51417517413120,c5bcfe24-3b68-4f28-b02e-0bd0c38bcf35,社会福祉法人武蔵野会,3fed2868-2d58-401b-85c2-72fa82b753aa,9e17b11e-efff-4a47-bfd5-645344b066c9,2021/12/10,練馬福祉園クッキング班,練馬福祉園クッキング班,社会福祉法人武蔵野会
大泉障害者支援ホーム,東京都,練馬区大泉学園町九丁目４番２号,練馬区大泉学園町９丁目４番２号,,社会福祉法人東京援護協会,飲食店営業,中村明彦,3978-5581,3練健生石食第21886号,2021/12/2,2021/12/2,2027/12/31,,199,大泉障害者支援ホーム,03,03-3978-5581,,,,東京都　練馬区大泉学園町９丁目４番２号,東京都練馬区大泉学園町９丁目４番２号,,75174,13,13120,大泉学園町９,,2021/12/02,2021/12/02,,2027/12/31,社会福祉法人東京援護協会,中村明彦,,,,,,,,,3練健生石食第21886号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,大泉障害者支援ホム03-3978-55817517413120,56ba4c3f-5011-4adf-8a24-3f6e09aec866,社会福祉法人東京援護協会,5321ec36-6293-44ee-83ad-cbf869dfa6af,57af4c43-0ae0-4af0-8d74-e7b0b3e2bead,2021/12/02,大泉障害者支援ホーム,大泉障害者支援ホム,社会福祉法人東京援護協会
