https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,確認番号,許可年月日,業種,申請-電話番号1,開業年月日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所TEL1,営業者名,許可番号,許可開始日,業種,"営業者TEL1
情報公開用",初回許可日,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ドミノ·ピザ池袋本町店,豊島区,池袋本町三丁目12番4号,5957-7755,株式会社ドミノ·ピザジャパン,1-30-02084,平成31年3月11日,【~R3.5】飲食店営業(飲食仕出),5820-3794,平成31年3月11日,新規,,195,ドミノ·ピザ池袋本町店,03,03-5957-7755,,,,豊島区　池袋本町三丁目12番4号,東京都豊島区池袋本町３丁目１２番４号,,74782,13,13116,池袋本町３,,2019/03/11,2019/03/11,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-30-02084,,飲食店営業,(飲食仕出),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ドミノピザ池袋本町店03-5957-77557478213116,27c15a00-21b7-4d17-bf62-96ad3035cc68,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,7fe0637e-e38c-46d3-b467-faf9cfa0a336,2019/03/11,ドミノ・ピザ池袋本町店,ドミノピザ池袋本町店,株式会社ドミノ・ピザジャパン
ドミノ·ピザ池袋本町店,豊島区,池袋本町三丁目12番4号,5957-7755,株式会社ドミノ·ピザジャパン,1-30-02085,平成31年3月11日,【~R3.5】菓子製造業(菓製その他),5820-3794,平成31年3月11日,新規,,195,ドミノ·ピザ池袋本町店,03,03-5957-7755,,,,豊島区　池袋本町三丁目12番4号,東京都豊島区池袋本町３丁目１２番４号,,74782,13,13116,池袋本町３,,2019/03/11,2019/03/11,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-30-02085,,菓子製造業,（菓製その他）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ドミノピザ池袋本町店03-5957-77557478213116,27c15a00-21b7-4d17-bf62-96ad3035cc68,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,afe19142-d55b-4e86-bb08-8f7c07924d93,2019/03/11,ドミノ・ピザ池袋本町店,ドミノピザ池袋本町店,株式会社ドミノ・ピザジャパン
ファミリーマート　下板橋駅前店,豊島区,池袋本町四丁目43番12号,5958-3413,四倉茂樹,1-29-01164,平成29年9月19日,【~R3.5】飲食店営業(飲食一般),※※※※※,平成29年9月19日,新規,,195,ファミリーマート　下板橋駅前店,03,03-5958-3413,,,,豊島区　池袋本町四丁目43番12号,東京都豊島区池袋本町４丁目４３番１２号,,74783,13,13116,池袋本町４,,2017/09/19,2017/09/19,,,,四倉茂樹,,,,,,,,,1-29-01164,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ファミリマト下板橋駅前店03-5958-34137478313116,9aac8756-ca1a-465d-8583-3f0905c060e5,,personal,93aa2676-f5de-478f-8530-ad6eb631c6fa,2017/09/19,ファミリーマート　下板橋駅前店,ファミリマト下板橋駅前店,
ファミリーマート　下板橋駅前店,豊島区,池袋本町四丁目43番12号,5958-3413,四倉茂樹,1-29-01165,平成29年9月19日,【~R3.5】菓子製造業(菓製その他),※※※※※,平成29年9月19日,新規,,195,ファミリーマート　下板橋駅前店,03,03-5958-3413,,,,豊島区　池袋本町四丁目43番12号,東京都豊島区池袋本町４丁目４３番１２号,,74783,13,13116,池袋本町４,,2017/09/19,2017/09/19,,,,四倉茂樹,,,,,,,,,1-29-01165,,菓子製造業,（菓製その他）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ファミリマト下板橋駅前店03-5958-34137478313116,9aac8756-ca1a-465d-8583-3f0905c060e5,,personal,de081236-d095-4c7e-bfa1-35674a535386,2017/09/19,ファミリーマート　下板橋駅前店,ファミリマト下板橋駅前店,
はちくまカフェ　南池袋店,豊島区,雑司が谷三丁目12番3号,6912-5089,阿部香織,1-30-01518,平成30年11月14日,【~R3.5】飲食店営業(飲食一般),,平成30年11月14日,新規,,195,はちくまカフェ　南池袋店,03,03-6912-5089,,,,豊島区　雑司が谷三丁目12番3号,東京都豊島区雑司が谷３丁目１２番３号,,74808,13,13116,雑司が谷３,,2018/11/14,2018/11/14,,,,阿部香織,,,,,,,,,1-30-01518,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,はちくまカフェ南池袋店03-6912-50897480813116,9bcf167f-d7e4-46f5-a793-701f6de254a8,,personal,ce25fe40-6bc2-4f47-9bfb-1e3673565aa6,2018/11/14,はちくまカフェ　南池袋店,はちくまカフェ南池袋店,
永楽寿司,豊島区,高田一丁目16番8号,3983-3824,福綱正敏,1-03-01193,令和3年11月16日,1飲食店営業(一般·すし),※※※※※,令和3年11月16日,新規,,195,永楽寿司,03,03-3983-3824,,,,豊島区　高田一丁目16番8号,東京都豊島区高田１丁目１６番８号,,74809,13,13116,高田１,,2021/11/16,2021/11/16,,,,福綱正敏,,,,,,,,,1-03-01193,,飲食店営業,(一般·すし),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,永楽寿司03-3983-38247480913116,e9501f1a-fe49-4438-b213-60a2ed887a8f,,personal,dbf5c907-dffb-4482-9e89-f01cb1d079a2,2021/11/16,永楽寿司,永楽寿司,
きんごま,豊島区,高田三丁目10番14号,3209-0412,柴﨑正二実,1-03-01210,令和3年11月26日,1飲食店営業(一般),※※※※※,令和3年11月26日,新規,,195,きんごま,03,03-3209-0412,,,,豊島区　高田三丁目10番14号,東京都豊島区高田３丁目１０番１４号,,74811,13,13116,高田３,,2021/11/26,2021/11/26,,,,柴﨑正二実,,,,,,,,,1-03-01210,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,きんごま03-3209-04127481113116,87d66c20-187c-4a81-8527-370082c150a4,,personal,a245fec0-9fc0-4c5e-896e-70f2bf0d4bb2,2021/11/26,きんごま,きんごま,
ドミノ·ピザ　高田馬場店,豊島区,高田三丁目11番14号,5155-1277,株式会社ドミノ·ピザジャパン,1-03-01288,,1飲食店営業(一般),5820-3794,,新規,,195,ドミノ·ピザ　高田馬場店,03,03-5155-1277,,,,豊島区　高田三丁目11番14号,東京都豊島区高田３丁目１１番１４号,,74811,13,13116,高田３,,,,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-03-01288,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ドミノピザ高田馬場店03-5155-12777481113116,60845e0e-48a6-4c61-862d-3c78228545c7,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,1680a8be-3cdf-4207-8ca9-fac17bad638c,2021/11/01,ドミノ・ピザ　高田馬場店,ドミノピザ高田馬場店,株式会社ドミノ・ピザジャパン
ジェラート·ラボ2,豊島区,高田三丁目18番13号,3590-1910,株式会社東京シルヴァー商会,1-03-01188,令和3年11月22日,12アイスクリーム類製造業,3590-2006,令和3年11月22日,新規,,195,ジェラート·ラボ2,03,03-3590-1910,,,,豊島区　高田三丁目18番13号,東京都豊島区高田３丁目１８番１３号,,74811,13,13116,高田３,,2021/11/22,2021/11/22,,,株式会社東京シルヴァー商会,,03-3590-2006,,,,,,,,1-03-01188,,アイスクリーム類製造業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ジェラトラボ２03-3590-19107481113116,d72f04e9-0c20-45d3-9197-cf41b1bf090b,株式会社東京シルヴァー商会,2eaa42f8-a438-41b4-86b6-6f7bb184970a,39151b23-700b-4971-bde5-342661f41026,2021/11/22,ジェラート・ラボ２,ジェラトラボ２,株式会社東京シルヴァー商会
cocorone　kouji　cafe,豊島区,高田三丁目30番15号,,飛毛 綾,1-03-01235,令和3年11月18日,1飲食店営業(一般),,令和3年11月18日,新規,,195,cocorone　kouji　cafe,03,,,,,豊島区　高田三丁目30番15号,東京都豊島区高田３丁目３０番１５号,,74811,13,13116,高田３,,2021/11/18,2021/11/18,,,,飛毛 綾,,,,,,,,,1-03-01235,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ｃｏｃｏｒｏｎｅｋｏｕｊｉｃａｆｅ7481113116,bedd4b9a-8097-4158-96e7-d27787f02e8c,,personal,65f16799-8ef3-4322-b5c6-468f3e09e3f5,2021/11/18,ｃｏｃｏｒｏｎｅ　ｋｏｕｊｉ　ｃａｆｅ,ｃｏｃｏｒｏｎｅｋｏｕｊｉｃａｆｅ,
目白警察署内　そば処みとう,豊島区,目白二丁目10番2号,5924-6694,みとう食品株式会社,1-03-01239,,1飲食店営業(一般·そば·うどん含),6379-4379,,新規,,195,目白警察署内　そば処みとう,03,03-5924-6694,,,,豊島区　目白二丁目10番2号,東京都豊島区目白２丁目１０番２号,,74849,13,13116,目白２,,,,,,みとう食品株式会社,,03-6379-4379,,,,,,,,1-03-01239,,飲食店営業,(一般·そば·うどん含),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,目白警察署内そば処みとう03-5924-66947484913116,6c794331-d39b-4106-8c97-fe4128de017f,みとう食品株式会社,554c0596-b617-4d1f-b9e0-d04d4ec19955,db7f1c8b-b304-47d0-8004-66e75bcc5ac1,2021/11/01,目白警察署内　そば処みとう,目白警察署内そば処みとう,みとう食品株式会社
ROCKET　CAFE,豊島区,目白二丁目16番20号,3983-2225,岸山尚史,1-28-01646,平成28年12月1日,【~R3.5】菓子製造業(菓製その他),※※※※※,平成21年11月16日,更新,,195,ROCKET　CAFE,03,03-3983-2225,,,,豊島区　目白二丁目16番20号,東京都豊島区目白２丁目１６番２０号,,74849,13,13116,目白２,,2009/11/16,2016/12/01,,,,岸山尚史,,,,,,,,,1-28-01646,,菓子製造業,（菓製その他）,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ＲＯＣＫＥＴＣＡＦＥ03-3983-22257484913116,03711069-e99e-4de8-806a-95cea5ac13ed,,personal,dcfe7d5a-624b-4037-84fc-e764f53bc128,2016/12/01,ＲＯＣＫＥＴ　ＣＡＦＥ,ＲＯＣＫＥＴＣＡＦＥ,
RACINE　Organic,豊島区,目白二丁目39番1号,03-5985-4980,株式会社グリップセカンド,1-03-01246,令和3年11月26日,1飲食店営業(一般),3988-9020,令和3年11月26日,新規,,195,RACINE　Organic,03,03-5985-4980,,,,豊島区　目白二丁目39番1号,東京都豊島区目白２丁目３９番１号,,74849,13,13116,目白２,,2021/11/26,2021/11/26,,,株式会社グリップセカンド,,03-3988-9020,,,,,,,,1-03-01246,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＲＡＣＩＮＥＯｒｇａｎｉｃ03-5985-49807484913116,3c1de32b-0fc9-4e88-9065-c654deac8b51,株式会社グリップセカンド,04718d22-d2ad-4245-822c-caa096910c9a,f5edd101-5e7b-4d32-bb5e-99b2c8c4f152,2021/11/26,ＲＡＣＩＮＥ　Ｏｒｇａｎｉｃ,ＲＡＣＩＮＥＯｒｇａｎｉｃ,株式会社グリップセカンド
ルヴァン　カフェ,豊島区,目白三丁目12番27号,,鬼束 ゆう,1-03-01170,令和3年11月17日,1飲食店営業(一般),※※※※※,令和3年11月17日,新規,,195,ルヴァン　カフェ,03,,,,,豊島区　目白三丁目12番27号,東京都豊島区目白３丁目１２番２７号,,74850,13,13116,目白３,,2021/11/17,2021/11/17,,,,鬼束 ゆう,,,,,,,,,1-03-01170,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ルヴァンカフェ7485013116,c926aca3-841a-4bad-a014-645e01656639,,personal,090495e0-0113-47e4-8404-2d14e7b64c23,2021/11/17,ルヴァン　カフェ,ルヴァンカフェ,
Tre Gatti,豊島区,目白三丁目13番1号,3565-6181,株式会社La scala,1-03-01174,令和3年11月8日,1飲食店営業(一般),3565-6181,令和3年11月8日,新規,,195,Tre Gatti,03,03-3565-6181,,,,豊島区　目白三丁目13番1号,東京都豊島区目白３丁目１３番１号,,74850,13,13116,目白３,,2021/11/08,2021/11/08,,,株式会社La scala,,03-3565-6181,,,,,,,,1-03-01174,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＴｒｅＧａｔｔｉ03-3565-61817485013116,66e472df-c2d0-4084-8051-57796fd83dc0,株式会社Ｌａ　ｓｃａｌａ,841a73b2-d282-4a17-99a2-6e1f16448997,feb3cfcc-a2c1-4e58-bf60-32a82836cc1c,2021/11/08,Ｔｒｅ　Ｇａｔｔｉ,ＴｒｅＧａｔｔｉ,株式会社Ｌａ　ｓｃａｌａ
Tre Gatti,豊島区,目白三丁目13番1号,3565-6181,株式会社La scala,1-03-01175,令和3年11月8日,24麺類製造業,3565-6181,令和3年11月8日,新規,,195,Tre Gatti,03,03-3565-6181,,,,豊島区　目白三丁目13番1号,東京都豊島区目白３丁目１３番１号,,74850,13,13116,目白３,,2021/11/08,2021/11/08,,,株式会社La scala,,03-3565-6181,,,,,,,,1-03-01175,,麺類製造業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ＴｒｅＧａｔｔｉ03-3565-61817485013116,66e472df-c2d0-4084-8051-57796fd83dc0,株式会社Ｌａ　ｓｃａｌａ,841a73b2-d282-4a17-99a2-6e1f16448997,e048f2fb-43dd-4aa6-8e67-cc52bbdfdbf2,2021/11/08,Ｔｒｅ　Ｇａｔｔｉ,ＴｒｅＧａｔｔｉ,株式会社Ｌａ　ｓｃａｌａ
はごろも,豊島区,目白三丁目13番23号,5906-5233,西川 和夫,1-03-01192,,1飲食店営業(一般),,,新規,,195,はごろも,03,03-5906-5233,,,,豊島区　目白三丁目13番23号,東京都豊島区目白３丁目１３番２３号,,74850,13,13116,目白３,,,,,,,西川 和夫,,,,,,,,,1-03-01192,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,はごろも03-5906-52337485013116,b90e84c2-86b9-45bb-9363-73b05af614d3,,personal,cc7c3d80-52c1-45fe-a0f4-d0c6b2713dc0,2021/11/01,はごろも,はごろも,
ギャラリア赤い鳥,豊島区,目白三丁目18番7号,,井汲春江,1-03-01194,,1飲食店営業(一般),※※※※※,,新規,,195,ギャラリア赤い鳥,03,,,,,豊島区　目白三丁目18番7号,東京都豊島区目白３丁目１８番７号,,74850,13,13116,目白３,,,,,,,井汲春江,,,,,,,,,1-03-01194,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ギャラリア赤い鳥7485013116,c056db98-4c81-4352-a4c5-df4edaae78f4,,personal,9949f0d4-3f54-4e60-96d5-7f99a64ad13b,2021/11/01,ギャラリア赤い鳥,ギャラリア赤い鳥,
マルマンストア椎名町店,豊島区,南長崎一丁目25番4号,03-5988-0858,株式会社マルマンストア,1-03-01179,令和3年11月25日,1飲食店営業(一般·惣菜),03-3368-1116,令和3年11月25日,新規,,195,マルマンストア椎名町店,03,03-5988-0858,,,,豊島区　南長崎一丁目25番4号,東京都豊島区南長崎１丁目２５番４号,,74842,13,13116,南長崎１,,2021/11/25,2021/11/25,,,株式会社マルマンストア,,03-3368-1116,,,,,,,,1-03-01179,,飲食店営業,(一般·惣菜),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,マルマンストア椎名町店03-5988-08587484213116,2c62568f-261b-488e-866d-1c1a4e9813a1,株式会社マルマンストア,66468306-c728-470b-b1ee-c409745c17c1,5bf709c2-2450-4aab-a6b5-242371c26f93,2021/11/25,マルマンストア椎名町店,マルマンストア椎名町店,株式会社マルマンストア
マルマンストア椎名町店,豊島区,南長崎一丁目25番4号,03-5988-0858,株式会社マルマンストア,1-03-01180,令和3年11月25日,3食肉販売業,03-3368-1116,令和3年11月25日,新規,,195,マルマンストア椎名町店,03,03-5988-0858,,,,豊島区　南長崎一丁目25番4号,東京都豊島区南長崎１丁目２５番４号,,74842,13,13116,南長崎１,,2021/11/25,2021/11/25,,,株式会社マルマンストア,,03-3368-1116,,,,,,,,1-03-01180,,食肉販売業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,マルマンストア椎名町店03-5988-08587484213116,2c62568f-261b-488e-866d-1c1a4e9813a1,株式会社マルマンストア,66468306-c728-470b-b1ee-c409745c17c1,5678813b-5d72-4a5e-b515-511d3acdce82,2021/11/25,マルマンストア椎名町店,マルマンストア椎名町店,株式会社マルマンストア
マルマンストア椎名町店,豊島区,南長崎一丁目25番4号,03-5988-0858,株式会社マルマンストア,1-03-01181,令和3年11月25日,4魚介類販売業,03-3368-1116,令和3年11月25日,新規,,195,マルマンストア椎名町店,03,03-5988-0858,,,,豊島区　南長崎一丁目25番4号,東京都豊島区南長崎１丁目２５番４号,,74842,13,13116,南長崎１,,2021/11/25,2021/11/25,,,株式会社マルマンストア,,03-3368-1116,,,,,,,,1-03-01181,,魚介類販売業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,I,58,,,マルマンストア椎名町店03-5988-08587484213116,2c62568f-261b-488e-866d-1c1a4e9813a1,株式会社マルマンストア,66468306-c728-470b-b1ee-c409745c17c1,4a23c03a-ee86-41f7-821f-20770a801441,2021/11/25,マルマンストア椎名町店,マルマンストア椎名町店,株式会社マルマンストア
ドミノ·ピザ　南長崎店,豊島区,南長崎三丁目6番1号,,株式会社ドミノ·ピザジャパン,1-31-01427,令和元年11月15日,【~R3.5】飲食店営業(飲食一般),,令和元年11月15日,新規,,195,ドミノ·ピザ　南長崎店,03,,,,,豊島区　南長崎三丁目6番1号,東京都豊島区南長崎３丁目６番１号,,74844,13,13116,南長崎３,,2019/11/15,2019/11/15,,,株式会社ドミノ·ピザジャパン,,,,,,,,,,1-31-01427,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ドミノピザ南長崎店7484413116,f0bfc480-ea6d-438e-bee0-badec4e8f84b,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,bc8e2a7d-1613-490e-973f-eb7390fe8fc3,2019/11/15,ドミノ・ピザ　南長崎店,ドミノピザ南長崎店,株式会社ドミノ・ピザジャパン
ドミノ·ピザ　南長崎店,豊島区,南長崎三丁目6番1号,,株式会社ドミノ·ピザジャパン,1-31-01428,令和元年11月15日,【~R3.5】菓子製造業(菓製その他),,令和元年11月15日,新規,,195,ドミノ·ピザ　南長崎店,03,,,,,豊島区　南長崎三丁目6番1号,東京都豊島区南長崎３丁目６番１号,,74844,13,13116,南長崎３,,2019/11/15,2019/11/15,,,株式会社ドミノ·ピザジャパン,,,,,,,,,,1-31-01428,,菓子製造業,（菓製その他）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ドミノピザ南長崎店7484413116,f0bfc480-ea6d-438e-bee0-badec4e8f84b,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,00691081-1067-4092-94a6-8a5cce159d19,2019/11/15,ドミノ・ピザ　南長崎店,ドミノピザ南長崎店,株式会社ドミノ・ピザジャパン
中華料理　五番,豊島区,南長崎五丁目12番11号,3951-3617,杉田政信,1-03-01244,,1飲食店営業(一般·中華),※※※※※,,新規,,195,中華料理　五番,03,03-3951-3617,,,,豊島区　南長崎五丁目12番11号,東京都豊島区南長崎５丁目１２番１１号,,74846,13,13116,南長崎５,,,,,,,杉田政信,,,,,,,,,1-03-01244,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,中華料理五番03-3951-36177484613116,1fe11365-f8ff-4bc2-a3b7-3a210e8f226a,,personal,37b0c148-6f43-461b-a87d-cfc575af2b2b,2021/11/01,中華料理　五番,中華料理五番,
La Vie Ensemble,豊島区,南長崎五丁目17番12号,03-6908-2773,神楽田正之,1-03-00867,令和3年9月9日,1飲食店営業(一般),,令和3年9月9日,新規,,195,La Vie Ensemble,03,03-6908-2773,,,,豊島区　南長崎五丁目17番12号,東京都豊島区南長崎５丁目１７番１２号,,74846,13,13116,南長崎５,,2021/09/09,2021/09/09,,,,神楽田正之,,,,,,,,,1-03-00867,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＬａＶｉｅＥｎｓｅｍｂｌｅ03-6908-27737484613116,e9957374-c0ad-4bec-ae86-3826e4f5ec03,,personal,9db61168-ebee-4bb1-9a8b-60600e78b63c,2021/09/09,Ｌａ　Ｖｉｅ　Ｅｎｓｅｍｂｌｅ,ＬａＶｉｅＥｎｓｅｍｂｌｅ,
中華食堂,豊島区,南長崎五丁目26番11号,6908-0822,錦秋合同会社,1-03-01204,令和3年11月19日,1飲食店営業(一般·中華),,令和3年11月19日,新規,,195,中華食堂,03,03-6908-0822,,,,豊島区　南長崎五丁目26番11号,東京都豊島区南長崎５丁目２６番１１号,,74846,13,13116,南長崎５,,2021/11/19,2021/11/19,,,錦秋合同会社,,,,,,,,,,1-03-01204,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,中華食堂03-6908-08227484613116,4cb5f513-e161-4c56-8990-376a3d5d749c,錦秋合同会社,0abeb235-5adf-49cf-89e7-e2d5e078f73f,d97bdc01-124b-4cbf-a59e-bebf90dd2931,2021/11/19,中華食堂,中華食堂,錦秋合同会社
