https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
はなまるうどん　マックスバリュとよみ店,,はなまるうどん　マックスバリュとよみ店　,豊見城市根差部７１０,マックスバリュとよみ　１Ｆフードコート内,098-852-2246  ,飲食店営業,食堂,株式会社ジェイシーシー,098-992-6259  ,R04.01.31,R04.01.31,第05202101204号,,466,はなまるうどん　マックスバリュとよみ店　,098,098-852-2246,,,,豊見城市根差部７１０,沖縄県豊見城市根差部７１０,マックスバリュとよみ　１Ｆフードコート内,216019,47,47212,根差部,,2022/01/31,2022/01/31,,,株式会社ジェイシーシー,,098-992-6259  ,,,,,,,,第05202101204号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,はなまるうどんマックスバリュとよみ店098-852-224621601947212,eb9faf9e-a252-48c0-afe5-53dfa4a3aec1,株式会社ジェイシーシー,05a00858-aeb8-4297-9926-bda03ab1d495,6cee08dc-300b-447b-9083-cacbccde3ea1,2022/01/31,はなまるうどん　マックスバリュとよみ店　,はなまるうどんマックスバリュとよみ店,株式会社ジェイシーシー
お水屋ロハス,,お水屋ロハス　,糸満市北波平３８９－２,,098-992-5899  ,清涼飲料水製造業,清涼飲料水製造業,株式会社丸義産業,098-995-1966  ,R04.02.28,R04.02.28,第05202101289号,,466,お水屋ロハス　,098,098-992-5899,,,,糸満市北波平３８９－２,沖縄県糸満市北波平３８９－２,,215822,47,47210,北波平,,2022/02/28,2022/02/28,,,株式会社丸義産業,,098-995-1966  ,,,,,,,,第05202101289号,,清涼飲料水製造業, 清涼飲料水製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,10,,,お水屋ロハス098-992-589921582247210,28f6d0b5-c3cf-46e1-a795-28ae235aac1f,株式会社丸義産業,ec365264-b270-4ca8-925b-3f7e91bdecdc,d1f3d1d9-a1bd-4993-8e69-b06cebb765cc,2022/02/28,お水屋ロハス　,お水屋ロハス,株式会社丸義産業
株式会社　沖縄美健販売,,株式会社　沖縄美健販売　,浦添市伊奈武瀬１－７－２,サンシルク内,098-943-0623  ,菓子製造業,菓子製造業,株式会社沖縄美健販売,098-996-1636  ,R04.02.07,R04.02.07,第05202101220号,,466,株式会社　沖縄美健販売　,098,098-943-0623,,,,浦添市伊奈武瀬１－７－２,沖縄県浦添市伊奈武瀬１－７－２,サンシルク内,215717,47,47208,伊奈武瀬１,,2022/02/07,2022/02/07,,,株式会社沖縄美健販売,,098-996-1636  ,,,,,,,,第05202101220号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,株式会社沖縄美健販売098-943-062321571747208,3d684162-e3ab-4b89-b9f3-d8d52c252753,株式会社沖縄美健販売,be935175-e7d6-4cd5-8dcd-572df086451d,2a9e7a5e-e83e-4c5c-851e-584ca2bb1ee5,2022/02/07,株式会社沖縄美健販売　,株式会社沖縄美健販売,株式会社沖縄美健販売
Deigo　plus＋（でいご　ぷらす）,,Deigo　plus＋（でいご　ぷらす）　,糸満市字米須１０５７－１－２,,098-997-3385  ,飲食店営業,カフェー,有限会社梯梧,098-997-3385  ,R03.12.21,R03.12.21,第05202101080号,,466,Deigo　plus＋（でいご　ぷらす）　,098,098-997-3385,,,,糸満市字米須１０５７－１－２,沖縄県糸満市字米須１０５７－１－２,,215826,47,47210,米須,,2021/12/21,2021/12/21,,,有限会社梯梧,,098-997-3385  ,,,,,,,,第05202101080号,,飲食店営業, カフェー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,Ｄｅｉｇｏｐｌｕｓでいごぷらす098-997-338521582647210,8fa51a64-34de-4acf-98e7-e26923dcb463,有限会社梯梧,8496d983-487e-4534-8c06-6c2ef5e1b2fa,120744ac-241a-4dee-bc18-42a029cfd375,2021/12/21,Ｄｅｉｇｏ　ｐｌｕｓ＋（でいご　ぷらす）　,Ｄｅｉｇｏｐｌｕｓでいごぷらす,有限会社梯梧
菓子工房　ヤマト,,菓子工房　ヤマト　,糸満市武富２５６－２,,995-2123      ,菓子製造業,菓子製造業,ヤマト石油株式会社,098-998-2828  ,R04.02.28,R04.02.28,第05202101283号,,466,菓子工房　ヤマト　,098,098-995-2123,,,,糸満市武富２５６－２,沖縄県糸満市武富２５６－２,,215829,47,47210,武富,,2022/02/28,2022/02/28,,,ヤマト石油株式会社,,098-998-2828  ,,,,,,,,第05202101283号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,菓子工房ヤマト098-995-212321582947210,4e158e88-7b33-4c9b-a784-06001be87763,ヤマト石油株式会社,c51023c5-288d-4615-a708-be1b83e5f775,57e9db6a-69e1-4a70-80a5-664216808afe,2022/02/28,菓子工房　ヤマト　,菓子工房ヤマト,ヤマト石油株式会社
ファミリーマート　南城馬天入口店,,ファミリーマート　南城馬天入口店　,南城市佐敷字津波古303,,852-5755      ,飲食店営業,そうざい,有限会社ディー・ランド,867-5088      ,R04.01.26,R04.01.26,第05202101166号,,466,ファミリーマート　南城馬天入口店　,098,098-852-5755,,,,南城市佐敷字津波古303,沖縄県南城市佐敷字津波古３０３,,216127,47,47215,佐敷,,2022/01/26,2022/01/26,,,有限会社ディー・ランド,,098-867-5088      ,,,,,,,,第05202101166号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ファミリマト南城馬天入口店098-852-575521612747215,314508da-170f-45f8-9057-ea7c0884011c,有限会社ディー・ランド,c1064034-b652-4894-b5c1-5afcd38e9c1d,90c08141-0f93-4542-b1ba-4f2b6170ebce,2022/01/26,ファミリーマート　南城馬天入口店　,ファミリマト南城馬天入口店,有限会社ディー・ランド
お水屋ロハス,,お水屋ロハス　,糸満市北波平３８９－２,,              ,飲食店営業,パーラー,株式会社丸義産業,992-5899      ,R04.02.28,R04.02.28,第05202101305号,,466,お水屋ロハス　,098,,,,,糸満市北波平３８９－２,沖縄県糸満市北波平３８９－２,,215822,47,47210,北波平,,2022/02/28,2022/02/28,,,株式会社丸義産業,,098-992-5899      ,,,,,,,,第05202101305号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,お水屋ロハス21582247210,ef76f57f-b189-423c-8979-4d6de1fc243d,株式会社丸義産業,ec365264-b270-4ca8-925b-3f7e91bdecdc,53e5e172-00d7-45ea-9ab0-dab20e62b808,2022/02/28,お水屋ロハス　,お水屋ロハス,株式会社丸義産業
株式会社沖縄トータルサービス,,株式会社沖縄トータルサービス　,糸満市西崎町４－１７－１９,,994-9948      ,魚介類販売業,魚介類販売業,株式会社沖縄トータルサービス,994-9948      ,R04.02.28,R04.02.28,第05202101286号,,466,株式会社沖縄トータルサービス　,098,098-994-9948,,,,糸満市西崎町４－１７－１９,沖縄県糸満市西崎町４－１７－１９,,215837,47,47210,西崎町４,,2022/02/28,2022/02/28,,,株式会社沖縄トータルサービス,,098-994-9948      ,,,,,,,,第05202101286号,,魚介類販売業, 魚介類販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,,,株式会社沖縄トタルサビス098-994-994821583747210,fa5cd198-d418-4306-9d7c-d9639336b65d,株式会社沖縄トータルサービス,baac172f-0d7c-42ba-89e5-d11b2348ed2c,ffd69bc9-1296-4451-9443-d6e5cd6cabfa,2022/02/28,株式会社沖縄トータルサービス　,株式会社沖縄トタルサビス,株式会社沖縄トータルサービス
ＰＲＯＳＣＩＵＴＴＯ＆ＭＥＬＯＮＥ,,ＰＲＯＳＣＩＵＴＴＯ＆ＭＥＬＯＮＥ　,糸満市西川町１４－９,むつみアパート１０２,              ,そうざい製造業,そうざい製造業,ＰＩＬＡＴ　ＭＩＲＣＯ,,R03.12.01,R03.12.01,第05202101039号,,466,ＰＲＯＳＣＩＵＴＴＯ＆ＭＥＬＯＮＥ　,098,,,,,糸満市西川町１４－９,沖縄県糸満市西川町１４－９,むつみアパート１０２,215847,47,47210,西川町,,2021/12/01,2021/12/01,,,,ＰＩＬＡＴ　ＭＩＲＣＯ,,,,,,,,,第05202101039号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,ＰＲＯＳＣＩＵＴＴＯＭＥＬＯＮＥ21584747210,bef00bda-1735-466f-a03c-8dd24af2bbcf,,personal,a0a63993-2a35-49a8-952b-7d54e71bab48,2021/12/01,ＰＲＯＳＣＩＵＴＴＯ＆ＭＥＬＯＮＥ　,ＰＲＯＳＣＩＵＴＴＯＭＥＬＯＮＥ,
ＰＲＯＳＣＩＵＴＴＯ＆ＭＥＬＯＮＥ,,ＰＲＯＳＣＩＵＴＴＯ＆ＭＥＬＯＮＥ　,糸満市西川町１４－９,むつみアパート１０２,              ,食品の小分け業,食品の小分け,ＰＩＬＡＴ　ＭＩＲＣＯ,,R03.12.01,R03.12.01,第05202101038号,,466,ＰＲＯＳＣＩＵＴＴＯ＆ＭＥＬＯＮＥ　,098,,,,,糸満市西川町１４－９,沖縄県糸満市西川町１４－９,むつみアパート１０２,215847,47,47210,西川町,,2021/12/01,2021/12/01,,,,ＰＩＬＡＴ　ＭＩＲＣＯ,,,,,,,,,第05202101038号,,食品の小分け業, 食品の小分け,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,522,5229,ＰＲＯＳＣＩＵＴＴＯＭＥＬＯＮＥ21584747210,bef00bda-1735-466f-a03c-8dd24af2bbcf,,personal,a3167d1f-3787-4e77-91e8-cfde20eb3c17,2021/12/01,ＰＲＯＳＣＩＵＴＴＯ＆ＭＥＬＯＮＥ　,ＰＲＯＳＣＩＵＴＴＯＭＥＬＯＮＥ,
恋ぬ花（カラオケ）,,恋ぬ花（カラオケ）　,南城市佐敷字津波古３９１,,              ,飲食店営業,スナック,勢理客トヨ子,,R03.12.06,R03.12.06,第05202101040号,,466,恋ぬ花（カラオケ）　,098,,,,,南城市佐敷字津波古３９１,沖縄県南城市佐敷字津波古３９１,,216127,47,47215,佐敷,,2021/12/06,2021/12/06,,,,勢理客トヨ子,,,,,,,,,第05202101040号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,恋ぬ花カラオケ21612747215,c7558a9e-a195-440c-8752-f4ab8aa3d0a4,,personal,6a1bfbf3-7a92-4893-a55b-5c243a165b9e,2021/12/06,恋ぬ花（カラオケ）　,恋ぬ花カラオケ,
カラオケスポットＮＡＲＩ,,カラオケスポットＮＡＲＩ　,浦添市牧港２－４９－１４,儀間ビル３－Ａ,              ,飲食店営業,バー,徳元直子,,R03.12.06,R03.12.06,第05202101048号,,466,カラオケスポットＮＡＲＩ　,098,,,,,浦添市牧港２－４９－１４,沖縄県浦添市牧港２－４９－１４,儀間ビル３－Ａ,215695,47,47208,牧港２,,2021/12/06,2021/12/06,,,,徳元直子,,,,,,,,,第05202101048号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カラオケスポットＮＡＲＩ21569547208,4ebb4e13-45da-4d2b-a3b4-6761e74128cf,,personal,73ba94f5-7615-482a-b239-fc6beef0b351,2021/12/06,カラオケスポットＮＡＲＩ　,カラオケスポットＮＡＲＩ,
奥平笑店,,奥平笑店　,浦添市勢理客１－１５－１３,,              ,飲食店営業,パーラー,奥平莉乃,,R03.12.06,R03.12.06,第05202101047号,,466,奥平笑店　,098,,,,,浦添市勢理客１－１５－１３,沖縄県浦添市勢理客１－１５－１３,,215665,47,47208,勢理客１,,2021/12/06,2021/12/06,,,,奥平莉乃,,,,,,,,,第05202101047号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,奥平笑店21566547208,ccf712b6-925d-4148-94b1-957d210a187b,,personal,a2b2108c-45c2-4f41-8a8e-7cc0298c3943,2021/12/06,奥平笑店　,奥平笑店,
１３　ＢＡＲ,,１３　ＢＡＲ　,糸満市西崎６－１４－３,オメガステーションビル２０２,              ,飲食店営業,バー,伊山尚吾,,R03.12.07,R03.12.07,第05202101051号,,466,１３　ＢＡＲ　,098,,,,,糸満市西崎６－１４－３,沖縄県糸満市西崎６－１４－３,オメガステーションビル２０２,215850,47,47210,西崎６,,2021/12/07,2021/12/07,,,,伊山尚吾,,,,,,,,,第05202101051号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,１３ＢＡＲ21585047210,a64a724e-b210-4ae7-b96e-de6b33275d4d,,personal,4235ee4b-6142-4d80-ada8-0bfb842b71d8,2021/12/07,１３　ＢＡＲ　,１３ＢＡＲ,
Ｒａｗ　Ｓｕｇａｒ　Ｋｕｍｅｊｉｍａ,,Ｒａｗ　Ｓｕｇａｒ　Ｋｕｍｅｊｉｍａ　,久米島町字謝名堂５４８－２６,,              ,菓子製造業,菓子製造業,山城葵,,R04.01.04,R04.01.04,第05202101105号,,466,Ｒａｗ　Ｓｕｇａｒ　Ｋｕｍｅｊｉｍａ　,098,,,,,久米島町字謝名堂５４８－２６,沖縄県島尻郡久米島町謝名堂５４８－２６,,701720,47,47361,謝名堂,,2022/01/04,2022/01/04,,,,山城葵,,,,,,,,,第05202101105号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,ＲａｗＳｕｇａｒＫｕｍｅｊｉｍａ70172047361,61a02dd5-1d40-431f-aebd-321277abb7f0,,personal,83354435-90c9-4497-9959-c91040662918,2022/01/04,Ｒａｗ　Ｓｕｇａｒ　Ｋｕｍｅｊｉｍａ　,ＲａｗＳｕｇａｒＫｕｍｅｊｉｍａ,
さしみやー,,さしみやー　,久米島町字謝名堂５４８－３０,,              ,魚介類販売業,魚介類販売業,大城純樹,,R04.02.15,R04.02.15,第05202101233号,,466,さしみやー　,098,,,,,久米島町字謝名堂５４８－３０,沖縄県島尻郡久米島町謝名堂５４８－３０,,701720,47,47361,謝名堂,,2022/02/15,2022/02/15,,,,大城純樹,,,,,,,,,第05202101233号,,魚介類販売業, 魚介類販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,,,さしみや70172047361,c7f78623-91e3-4031-9b0a-f875b690e592,,personal,977599f1-8f81-411d-95fa-79b042c2dd87,2022/02/15,さしみやー　,さしみや,
米粉のお菓子屋さん　ｎｍａ－ｎｍａ,,米粉のお菓子屋さん　ｎｍａ－ｎｍａ　,南城市佐敷字屋比久５６０,,              ,菓子製造業,菓子製造業,平田尚子,,R03.12.09,R03.12.09,第05202101057号,,466,米粉のお菓子屋さん　ｎｍａ－ｎｍａ　,098,,,,,南城市佐敷字屋比久５６０,沖縄県南城市佐敷字屋比久５６０,,216127,47,47215,佐敷,,2021/12/09,2021/12/09,,,,平田尚子,,,,,,,,,第05202101057号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,米粉のお菓子屋さんｎｍａｎｍａ21612747215,5bfe6f75-0851-4ba3-8b92-a80f3d555dab,,personal,86b41277-7242-4dc5-9c98-4a8f89ba9bf9,2021/12/09,米粉のお菓子屋さん　ｎｍａ－ｎｍａ　,米粉のお菓子屋さんｎｍａｎｍａ,
フェアリースター,,フェアリースター　,糸満市西崎６－８－５,パークサイド５－Ｃ,              ,飲食店営業,バー,大山五起,,R03.12.10,R03.12.10,第05202101060号,,466,フェアリースター　,098,,,,,糸満市西崎６－８－５,沖縄県糸満市西崎６－８－５,パークサイド５－Ｃ,215850,47,47210,西崎６,,2021/12/10,2021/12/10,,,,大山五起,,,,,,,,,第05202101060号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,フェアリスタ21585047210,2f5e0b8e-064e-4c79-b639-b61ae9e437d4,,personal,67e6458c-3b65-4d06-bc2f-4fdb86b997dc,2021/12/10,フェアリースター　,フェアリスタ,
Ｈａｌｌｙ’ｓ．　Ｃａｆｅ,,Ｈａｌｌｙ’ｓ．　Ｃａｆｅ　,浦添市前田４－４－２２,,              ,そうざい製造業,そうざい製造業,大山徹,,R03.12.13,R03.12.13,第05202101064号,,466,Ｈａｌｌｙ’ｓ．　Ｃａｆｅ　,098,,,,,浦添市前田４－４－２２,沖縄県浦添市前田４－４－２２,,215692,47,47208,前田４,,2021/12/13,2021/12/13,,,,大山徹,,,,,,,,,第05202101064号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,ＨａｌｌｙｓＣａｆｅ21569247208,d98a13b7-f533-468f-a789-79f24a5ac944,,personal,f3f77b68-7234-47a8-abd4-adba7df2f28d,2021/12/13,Ｈａｌｌｙ＇ｓ．　Ｃａｆｅ　,ＨａｌｌｙｓＣａｆｅ,
うなとり弁当,,うなとり弁当　,糸満市字賀数２５１－７,,              ,飲食店営業,弁当屋,新垣友康,,R03.12.14,R03.12.14,第05202101069号,,466,うなとり弁当　,098,,,,,糸満市字賀数２５１－７,沖縄県糸満市字賀数２５１－７,,215820,47,47210,賀数,,2021/12/14,2021/12/14,,,,新垣友康,,,,,,,,,第05202101069号,,飲食店営業, 弁当屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,うなとり弁当21582047210,b7b54d73-fedb-49e4-9bb5-63e577441765,,personal,5cf11d54-5397-4473-9e9c-1e0e336e7fa3,2021/12/14,うなとり弁当　,うなとり弁当,
ＣＬＵＢ　ＥＤＥＮ,,ＣＬＵＢ　ＥＤＥＮ　,糸満市西崎６－１２－８,５－Ｃ,              ,飲食店営業,キャバレー,上原涼太,,R03.12.15,R03.12.15,第05202101072号,,466,ＣＬＵＢ　ＥＤＥＮ　,098,,,,,糸満市西崎６－１２－８,沖縄県糸満市西崎６－１２－８,５－Ｃ,215850,47,47210,西崎６,,2021/12/15,2021/12/15,,,,上原涼太,,,,,,,,,第05202101072号,,飲食店営業, キャバレー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＣＬＵＢＥＤＥＮ21585047210,0d26e0fb-0141-4e75-ac19-9957aec12f83,,personal,563b18e3-86f2-4ebf-97b1-02deffe070f2,2021/12/15,ＣＬＵＢ　ＥＤＥＮ　,ＣＬＵＢＥＤＥＮ,
