,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社　NMK 代表取締役　中村　正勝,052-446-5677,株式会社　NMK,名古屋市中村区中村町４丁目５１番地　清正ビル１F,名古屋市中村区中村町４丁目５１番地, 清正ビル１F,052-446-5677,飲食店営業,2022/7/25,4中村保管第1-290号,2022/7/29,2028/12/20,,名古屋市保健所,株式会社　NMK,052,052-446-5677,,,,名古屋市中村区中村町４丁目５１番地,愛知県名古屋市中村区中村町４丁目５１番地, 清正ビル１F,114675,愛知県,名古屋市中村区,中村町４,,2022/07/25,,2022/07/29,2028/12/20,株式会社　NMK ,代表取締役　中村　正勝,052-446-5677,,,,,,,,4中村保管第1-290号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社ＮＭＫ,株式会社ＮＭＫ,株式会社ＮＭＫ　,,2,,,,,
株式会社　NMK 代表取締役　中村　正勝,052-446-5677,株式会社　NMK,名古屋市中村区中村町４丁目５１番地　清正ビル１F,名古屋市中村区中村町４丁目５１番地, 清正ビル１F,052-446-5677,そうざい製造業,2022/7/25,4中村保管第1-291号,2022/7/29,2028/12/20,,名古屋市保健所,株式会社　NMK,052,052-446-5677,,,,名古屋市中村区中村町４丁目５１番地,愛知県名古屋市中村区中村町４丁目５１番地, 清正ビル１F,114675,愛知県,名古屋市中村区,中村町４,,2022/07/25,,2022/07/29,2028/12/20,株式会社　NMK ,代表取締役　中村　正勝,052-446-5677,,,,,,,,4中村保管第1-291号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,株式会社ＮＭＫ,株式会社ＮＭＫ,株式会社ＮＭＫ　,,2,,,,,
株式会社　名駅都市開発 代表取締役　鈴木　貞男,052-300-1155,ホテル　プリズム,名古屋市中村区椿町３番１５号　ホテルプリズム　１階,名古屋市中村区椿町３番１５号,ホテルプリズム １階,485-6919,飲食店営業,2022/7/28,4中村保管第1-309号,2022/7/29,2028/10/20,,名古屋市保健所,ホテル　プリズム,052,052-485-6919,,,,名古屋市中村区椿町３番１５号,愛知県名古屋市中村区椿町３番１５号,ホテルプリズム １階,114653,愛知県,名古屋市中村区,椿町,,2022/07/28,,2022/07/29,2028/10/20,株式会社　名駅都市開発 ,代表取締役　鈴木　貞男,052-300-1155,,,,,,,,4中村保管第1-309号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ホテル　プリズム,ホテルプリズム,株式会社名駅都市開発　,,1,,,,,
株式会社　鳥重商店 代表取締役　羽田野　伸朗,486-1129,株式会社　鳥重商店　,名古屋市中村区烏森町７丁目２９７番地　鳥重ビル１Ｆ、２Ｆ,名古屋市中村区烏森町７丁目２９７番地, 鳥重ビル１Ｆ、２Ｆ,486-1129,食肉販売業,2022/7/29,4中村保管第1-313号,2022/8/21,2028/8/20,,名古屋市保健所,株式会社　鳥重商店　,052,052-486-1129,,,,名古屋市中村区烏森町７丁目２９７番地,愛知県名古屋市中村区烏森町７丁目２９７番地, 鳥重ビル１Ｆ、２Ｆ,114524,愛知県,名古屋市中村区,烏森町７,,2022/07/29,,2022/08/21,2028/08/20,株式会社　鳥重商店 ,代表取締役　羽田野　伸朗,-486-1129,,,,,,,,4中村保管第1-313号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,株式会社鳥重商店　,株式会社鳥重商店,株式会社鳥重商店　,,4,,,,,
株式会社　鳥重商店 代表取締役　羽田野　伸朗,486-1129,株式会社　鳥重商店　,名古屋市中村区烏森町７丁目２９７番地　鳥重ビル１Ｆ、２Ｆ,名古屋市中村区烏森町７丁目２９７番地, 鳥重ビル１Ｆ、２Ｆ,486-1129,飲食店営業,2022/7/29,4中村保管第1-312号,2022/8/21,2028/8/20,,名古屋市保健所,株式会社　鳥重商店　,052,052-486-1129,,,,名古屋市中村区烏森町７丁目２９７番地,愛知県名古屋市中村区烏森町７丁目２９７番地, 鳥重ビル１Ｆ、２Ｆ,114524,愛知県,名古屋市中村区,烏森町７,,2022/07/29,,2022/08/21,2028/08/20,株式会社　鳥重商店 ,代表取締役　羽田野　伸朗,-486-1129,,,,,,,,4中村保管第1-312号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社鳥重商店　,株式会社鳥重商店,株式会社鳥重商店　,,4,,,,,
株式会社　鳥重商店 代表取締役　羽田野　伸朗,486-1129,株式会社　鳥重商店　,名古屋市中村区烏森町７丁目２９７番地　鳥重ビル１Ｆ、２Ｆ,名古屋市中村区烏森町７丁目２９７番地, 鳥重ビル１Ｆ、２Ｆ,486-1129,食肉処理業,2022/7/29,4中村保管第1-315号,2022/8/21,2028/8/20,,名古屋市保健所,株式会社　鳥重商店　,052,052-486-1129,,,,名古屋市中村区烏森町７丁目２９７番地,愛知県名古屋市中村区烏森町７丁目２９７番地, 鳥重ビル１Ｆ、２Ｆ,114524,愛知県,名古屋市中村区,烏森町７,,2022/07/29,,2022/08/21,2028/08/20,株式会社　鳥重商店 ,代表取締役　羽田野　伸朗,-486-1129,,,,,,,,4中村保管第1-315号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,株式会社鳥重商店　,株式会社鳥重商店,株式会社鳥重商店　,,4,,,,,
株式会社　鳥重商店 代表取締役　羽田野　伸朗,486-1129,株式会社　鳥重商店　,名古屋市中村区烏森町７丁目２９７番地　鳥重ビル１Ｆ、２Ｆ,名古屋市中村区烏森町７丁目２９７番地, 鳥重ビル１Ｆ、２Ｆ,486-1129,そうざい製造業,2022/7/29,4中村保管第1-314号,2022/8/21,2028/8/20,,名古屋市保健所,株式会社　鳥重商店　,052,052-486-1129,,,,名古屋市中村区烏森町７丁目２９７番地,愛知県名古屋市中村区烏森町７丁目２９７番地, 鳥重ビル１Ｆ、２Ｆ,114524,愛知県,名古屋市中村区,烏森町７,,2022/07/29,,2022/08/21,2028/08/20,株式会社　鳥重商店 ,代表取締役　羽田野　伸朗,-486-1129,,,,,,,,4中村保管第1-314号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,株式会社鳥重商店　,株式会社鳥重商店,株式会社鳥重商店　,,4,,,,,
フジ産業　株式会社 代表取締役　久田　和紀,03-3434-8901,Ｎ-３０５９０,名古屋市中村区名駅四丁目１１番２７号　シンフォニー豊田ビル１７階オアシスカフェ内フジ産業,名古屋市中村区名駅４丁目１１番２７号, シンフォニー豊田ビル１７階オアシスカフェ内フジ産業,558-2932,飲食店営業,2022/7/28,4中村保管第1-276号,2022/7/29,2029/2/20,,名古屋市保健所,Ｎ-３０５９０,052,052-558-2932,,,,名古屋市中村区名駅４丁目１１番２７号,愛知県名古屋市中村区名駅４丁目１１番２７号, シンフォニー豊田ビル１７階オアシスカフェ内フジ産業,114784,愛知県,名古屋市中村区,名駅４,,2022/07/28,,2022/07/29,2029/02/20,フジ産業　株式会社 ,代表取締役　久田　和紀,03-3434-8901,,,,,,,,4中村保管第1-276号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｎ－３０５９０,Ｎ３０５９０,フジ産業株式会社,,1,,,,,
中上　貴文,,リボンの古城カフェ,名古屋市中区大須四丁目１番３号　名商ビル３F,名古屋市中区大須４丁目１番３号, 名商ビル３F,,飲食店営業,2022/7/1,4中保管第1-551号,2022/7/16,2028/7/20,,名古屋市保健所,リボンの古城カフェ,052,,,,,名古屋市中区大須４丁目１番３号,愛知県名古屋市中区大須４丁目１番３号, 名商ビル３F,114846,愛知県,名古屋市中区,大須４,,2022/07/01,,2022/07/16,2028/07/20,,中上　貴文,,,,,,,,,4中保管第1-551号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,リボンの古城カフェ,リボンの古城カフェ,,,1,,,,,
株式会社　ＳＫシナジー 代表取締役　瀬古　浩司,052-242-7560,新名古屋大酒場　しゃちほこ,名古屋市中区大須四丁目１番７号　サンポートヤバビル１階,名古屋市中区大須４丁目１番７号, サンポートヤバビル１階,,飲食店営業,2022/7/6,4中保管第1-536号,2022/7/18,2028/7/20,,名古屋市保健所,新名古屋大酒場　しゃちほこ,052,,,,,名古屋市中区大須４丁目１番７号,愛知県名古屋市中区大須４丁目１番７号, サンポートヤバビル１階,114846,愛知県,名古屋市中区,大須４,,2022/07/06,,2022/07/18,2028/07/20,株式会社　ＳＫシナジー ,代表取締役　瀬古　浩司,052-242-7560,,,,,,,,4中保管第1-536号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,新名古屋大酒場　しゃちほこ,新名古屋大酒場しゃちほこ,株式会社ＳＫシナジー　,,1,,,,,
株式会社　Ａｓｓｅｔ　Ｌａｂ 代表取締役　油布　賢一,052-261-5501,Ｄ１,名古屋市中区大須三丁目１５番１３号　,名古屋市中区大須３丁目１５番１３号, ,052-228-4670,飲食店営業,2022/7/6,4中保管第1-474号,2022/7/15,2028/7/20,,名古屋市保健所,Ｄ１,052,052-228-4670,,,,名古屋市中区大須３丁目１５番１３号,愛知県名古屋市中区大須３丁目１５番１３号, ,114845,愛知県,名古屋市中区,大須３,,2022/07/06,,2022/07/15,2028/07/20,株式会社　Ａｓｓｅｔ　Ｌａｂ ,代表取締役　油布　賢一,052-261-5501,,,,,,,,4中保管第1-474号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｄ１,Ｄ１,株式会社Ａｓｓｅｔ　Ｌａｂ　,,1,,,,,
ＳＴＯ ＤＯＭＩＮＧＯ ＪＡＭＥＳ ＴＯＫＵＮＡＧＡ,,Ｒｅｓｔｏｂａｒ　Ａｔｂｐ,名古屋市中区栄四丁目４番９号　西新ビル４階　４１３号室,名古屋市中区栄４丁目４番９号,西新ビル４階 ４１３号室,,飲食店営業,2022/7/1,4中保管第1-239号,2022/7/1,2028/7/20,,名古屋市保健所,Ｒｅｓｔｏｂａｒ　Ａｔｂｐ,052,,,,,名古屋市中区栄４丁目４番９号,愛知県名古屋市中区栄４丁目４番９号,西新ビル４階 ４１３号室,114858,愛知県,名古屋市中区,栄４,,2022/07/01,,2022/07/01,2028/07/20,,ＳＴＯ ＤＯＭＩＮＧＯ ＪＡＭＥＳ ＴＯＫＵＮＡＧＡ,,,,,,,,,4中保管第1-239号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｒｅｓｔｏｂａｒ　Ａｔｂｐ,ＲｅｓｔｏｂａｒＡｔｂｐ,,,1,,,,,
熊谷　州登,,Ａｎａｒｃｈｙ　Ｐｏｉｎｔ,名古屋市中区栄四丁目２０番９号　第１０六本木ビレッジ　３０２,名古屋市中区栄４丁目２０番９号,第１０六本木ビレッジ ３０２,,飲食店営業,2022/7/4,4中保管第1-638号,2022/7/4,2028/7/20,,名古屋市保健所,Ａｎａｒｃｈｙ　Ｐｏｉｎｔ,052,,,,,名古屋市中区栄４丁目２０番９号,愛知県名古屋市中区栄４丁目２０番９号,第１０六本木ビレッジ ３０２,114858,愛知県,名古屋市中区,栄４,,2022/07/04,,2022/07/04,2028/07/20,,熊谷　州登,,,,,,,,,4中保管第1-638号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ａｎａｒｃｈｙ　Ｐｏｉｎｔ,ＡｎａｒｃｈｙＰｏｉｎｔ,,,1,,,,,
東　啓太,,鴨魚ん,名古屋市中区金山五丁目８番８号　マルジンマンション１F,名古屋市中区金山５丁目８番８号, マルジンマンション１F,,飲食店営業,2022/7/6,4中保管第1-668号,2022/7/6,2028/7/20,,名古屋市保健所,鴨魚ん,052,,,,,名古屋市中区金山５丁目８番８号,愛知県名古屋市中区金山５丁目８番８号, マルジンマンション１F,114851,愛知県,名古屋市中区,金山５,,2022/07/06,,2022/07/06,2028/07/20,,東　啓太,,,,,,,,,4中保管第1-668号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,鴨魚ん,鴨魚ん,,,1,,,,,
髙村　光幸,,旅するべんとう　タカムラ,名古屋市中区松原二丁目２２番３０号　トーカンマンション松原 １Ｆ　店舗Ｂ,名古屋市中区松原２丁目２２番３０号,トーカンマンション松原 １Ｆ 店舗Ｂ,052-746-9347,そうざい製造業,2022/7/6,4中保管第1-577号,2022/7/6,2028/7/20,,名古屋市保健所,旅するべんとう　タカムラ,052,052-746-9347,,,,名古屋市中区松原２丁目２２番３０号,愛知県名古屋市中区松原２丁目２２番３０号,トーカンマンション松原 １Ｆ 店舗Ｂ,114899,愛知県,名古屋市中区,松原２,,2022/07/06,,2022/07/06,2028/07/20,,髙村　光幸,,,,,,,,,4中保管第1-577号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,旅するべんとう　タカムラ,旅するべんとうタカムラ,,,1,,,,,
合同会社やったるで 代表社員　工藤　剣紫郎,,ＰＥＲＩＤＯＴ,名古屋市中区栄四丁目１２番５号　和光ビル　２階Ｂ号室,名古屋市中区栄４丁目１２番５号,和光ビル ２階Ｂ号室,,飲食店営業,2022/7/4,4中保管第1-662号,2022/7/4,2028/7/20,,名古屋市保健所,ＰＥＲＩＤＯＴ,052,,,,,名古屋市中区栄４丁目１２番５号,愛知県名古屋市中区栄４丁目１２番５号,和光ビル ２階Ｂ号室,114858,愛知県,名古屋市中区,栄４,,2022/07/04,,2022/07/04,2028/07/20,合同会社やったるで ,代表社員　工藤　剣紫郎,,,,,,,,,4中保管第1-662号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＰＥＲＩＤＯＴ,ＰＥＲＩＤＯＴ,合同会社やったるで　,,1,,,,,
武田　大幸,,ＷＡＫＡＲＡＮ,名古屋市中区栄四丁目２０番９号　第１０六本木ビレッジ６０２,名古屋市中区栄４丁目２０番９号, 第１０六本木ビレッジ６０２,,飲食店営業,2022/7/12,4中保管第1-645号,2022/7/12,2028/7/20,,名古屋市保健所,ＷＡＫＡＲＡＮ,052,,,,,名古屋市中区栄４丁目２０番９号,愛知県名古屋市中区栄４丁目２０番９号, 第１０六本木ビレッジ６０２,114858,愛知県,名古屋市中区,栄４,,2022/07/12,,2022/07/12,2028/07/20,,武田　大幸,,,,,,,,,4中保管第1-645号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＷＡＫＡＲＡＮ,ＷＡＫＡＲＡＮ,,,1,,,,,
