https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83-038824,都筑生指令第202,太陽食品株式会社,,横浜市都筑区茅ケ崎南3-18-25,横浜市都筑区茅ケ崎南３－１８－２５,,サンライズガーデン　701 ,459424001,菓子製造業,,2021年11月26日,2028年11月25日,2021年11月26日,,141,サンライズガーデン　701 ,045,045-942-4001,,,,横浜市都筑区茅ケ崎南３－１８－２５,神奈川県横浜市都筑区茅が崎南３－１８－２５,,79859,14,14118,茅が崎南３,,2021/11/26,2021/11/26,,2028/11/25,太陽食品株式会社,,,,,,,,,,都筑生指令第202,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,サンライズガデン７０１045-942-40017985914118,c051ca51-f009-46fe-8728-cd31f548bdbf,太陽食品株式会社,e241c664-e93e-49d8-8173-364caaf4914b,48af44f1-6b15-4ab8-b5cf-17ad70a0777f,2021/11/26,サンライズガーデン　７０１　,サンライズガデン７０１,太陽食品株式会社
83-038825,都筑生第8643,,田邉 充,横浜市都筑区勝田町1049-1,横浜市都筑区勝田町１０４９－１,,ローソンスリーエフ　都筑勝田橋店 ,455930683,コンビニエンスストア,,2021年11月1日,2117年12月31日,2021年11月1日,,141,ローソンスリーエフ　都筑勝田橋店 ,045,045-593-0683,,,,横浜市都筑区勝田町１０４９－１,神奈川県横浜市都筑区勝田町１０４９－１,,79831,14,14118,勝田町,,2021/11/01,2021/11/01,,2117/12/31,,田邉 充,,,,,,,,,都筑生第8643,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ロソンスリエフ都筑勝田橋店045-593-06837983114118,00141_ee05d5ff-2f09-4bc4-b121-6569b6cebaa2,,personal,8ff1bfc6-2042-4493-9755-b7e2dd109841,2021/11/01,ローソンスリーエフ　都筑勝田橋店　,ロソンスリエフ都筑勝田橋店,
83-038827,都筑生第8645,株式会社すかいらーくレストランツ,,横浜市都筑区東山田町99,横浜市都筑区東山田町９９,,ジョナサン 東山田店 ,455901261,その他の食料・飲料販売業,,2021年11月2日,2117年12月31日,2021年11月2日,,141,ジョナサン 東山田店 ,045,045-590-1261,,,,横浜市都筑区東山田町９９,神奈川県横浜市都筑区東山田町９９,,79887,14,14118,東山田町,,2021/11/02,2021/11/02,,2117/12/31,株式会社すかいらーくレストランツ,,,,,,,,,,都筑生第8645,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,ジョナサン東山田店045-590-12617988714118,3af09241-3028-401a-b020-ec17f67f9b01,株式会社すかいらーくレストランツ,5b4b8cde-144d-4275-b229-04b8e1f0af34,37e013a9-c80d-42fa-b0de-ef19067dd8ec,2021/11/02,ジョナサン　東山田店　,ジョナサン東山田店,株式会社すかいらーくレストランツ
83-038828,都筑生第8649,トオカツフーズ株式会社,,横浜市都筑区南山田3-7-1,横浜市都筑区南山田３－７－１,,ファミリーマート南山田三丁目店 ,455905878,コンビニエンスストア,,2021年11月4日,2117年12月31日,2021年11月4日,,141,ファミリーマート南山田三丁目店 ,045,045-590-5878,,,,横浜市都筑区南山田３－７－１,神奈川県横浜市都筑区南山田３－７－１,,79892,14,14118,南山田３,,2021/11/04,2021/11/04,,2117/12/31,トオカツフーズ株式会社,,,,,,,,,,都筑生第8649,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ファミリマト南山田三丁目店045-590-58787989214118,00141_0ae58a7c-0eb9-49dd-936a-689cdf1a8ac9,トオカツフーズ株式会社,0b0e79ec-067f-46f6-b127-628377cdb4bd,5c2abedd-161a-47b6-9968-81fe5cba5993,2021/11/04,ファミリーマート南山田三丁目店　,ファミリマト南山田三丁目店,トオカツフーズ株式会社
83-038829,都筑生第8652,株式会社大田,,横浜市都筑区大棚町136-1,横浜市都筑区大棚町１３６－１,,ローソン・スリーエフ　都筑大棚店 ,455918326,コンビニエンスストア,,2021年11月2日,2117年12月31日,2021年11月2日,,141,ローソン・スリーエフ　都筑大棚店 ,045,045-591-8326,,,,横浜市都筑区大棚町１３６－１,神奈川県横浜市都筑区大棚町１３６－１,,79826,14,14118,大棚町,,2021/11/02,2021/11/02,,2117/12/31,株式会社大田,,,,,,,,,,都筑生第8652,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ロソンスリエフ都筑大棚店045-591-83267982614118,00141_c036b7e6-3431-4430-a650-ee0782070d36,株式会社大田,bad9f1d1-32a2-4345-ad8e-cc87be4a46b5,28c8a688-4a76-4de5-8f06-d72c53ee27a7,2021/11/02,ローソン・スリーエフ　都筑大棚店　,ロソンスリエフ都筑大棚店,株式会社大田
83-038830,都筑生指令第203,株式会社ゴールドフィールド,,横浜市都筑区早渕3-2-1,横浜市都筑区早渕３－２－１,,麺屋　あびすけ ,7011801247,飲食店営業,中華料理店,2021年11月10日,2027年11月9日,2021年11月10日,,141,麺屋　あびすけ ,045,070-1180-1247,,,,横浜市都筑区早渕３－２－１,神奈川県横浜市都筑区早渕３－２－１,,79881,14,14118,早渕３,,2021/11/10,2021/11/10,,2027/11/09,株式会社ゴールドフィールド,,,,,,,,,,都筑生指令第203,,飲食店営業, 中華料理店,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,麺屋あびすけ070-1180-12477988114118,9aceec32-d241-4ffd-8a21-d35bbcd1c776,株式会社ゴールドフィールド,0602e305-514f-4578-9250-88b046902e5b,47dd032a-92b0-4675-bbd1-c0ec7e274a23,2021/11/10,麺屋　あびすけ　,麺屋あびすけ,株式会社ゴールドフィールド
83-038831,都筑生第8654,有限会社ベビーステーション,,横浜市都筑区茅ケ崎中央53-2,横浜市都筑区茅ケ崎中央５３－２,,ベビーステーションセンター南 ,459416130,集団給食施設,,2021年11月5日,2117年12月31日,2021年11月5日,,141,ベビーステーションセンター南 ,045,045-941-6130,,,,横浜市都筑区茅ケ崎中央５３－２,神奈川県横浜市都筑区茅が崎中央５３－２,,79850,14,14118,茅が崎中央,,2021/11/05,2021/11/05,,2117/12/31,有限会社ベビーステーション,,,,,,,,,,都筑生第8654,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,ベビステションセンタ南045-941-61307985014118,8b8276fe-5d3e-4c13-b917-809f07fce678,有限会社ベビーステーション,579f9934-3a97-4b43-8d25-a3f9a5834bd3,1338b85d-aa8d-4e63-aba9-8ac92f407e47,2021/11/05,ベビーステーションセンター南　,ベビステションセンタ南,有限会社ベビーステーション
83-038832,都筑生指令第204,株式会社清人,,横浜市都筑区茅ケ崎東5-6-8,横浜市都筑区茅ケ崎東５－６－８,,精肉店　熊本清人 ,455325106,飲食店営業,,2021年11月12日,2028年11月11日,2021年11月12日,,141,精肉店　熊本清人 ,045,045-532-5106,,,,横浜市都筑区茅ケ崎東５－６－８,神奈川県横浜市都筑区茅が崎東５－６－８,,79856,14,14118,茅が崎東５,,2021/11/12,2021/11/12,,2028/11/11,株式会社清人,,,,,,,,,,都筑生指令第204,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,精肉店熊本清人045-532-51067985614118,dde1696f-428e-4043-a102-c5cc7660abe6,株式会社清人,b9c89800-ecfb-4e4e-84a7-0ca2d7824084,13bb111e-7760-41bb-89d4-ec8626925386,2021/11/12,精肉店　熊本清人　,精肉店熊本清人,株式会社清人
83-038833,都筑生指令第205,株式会社清人,,横浜市都筑区茅ケ崎東5-6-8,横浜市都筑区茅ケ崎東５－６－８,,精肉店　熊本清人 ,455325106,食肉処理業,,2021年11月12日,2028年11月11日,2021年11月12日,,141,精肉店　熊本清人 ,045,045-532-5106,,,,横浜市都筑区茅ケ崎東５－６－８,神奈川県横浜市都筑区茅が崎東５－６－８,,79856,14,14118,茅が崎東５,,2021/11/12,2021/11/12,,2028/11/11,株式会社清人,,,,,,,,,,都筑生指令第205,,食肉販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,583,,精肉店熊本清人045-532-51067985614118,dde1696f-428e-4043-a102-c5cc7660abe6,株式会社清人,b9c89800-ecfb-4e4e-84a7-0ca2d7824084,5d466fa1-76d0-4083-8284-64fa3b91c189,2021/11/12,精肉店　熊本清人　,精肉店熊本清人,株式会社清人
83-038834,都筑生第8658,あべ産業株式会社,,横浜市都筑区勝田町1313,横浜市都筑区勝田町１３１３,,あべ産業株式会社 ,455957962,その他の食料・飲料販売業,,2021年11月8日,2117年12月31日,2021年11月8日,,141,あべ産業株式会社 ,045,045-595-7962,,,,横浜市都筑区勝田町１３１３,神奈川県横浜市都筑区勝田町１３１３,,79831,14,14118,勝田町,,2021/11/08,2021/11/08,,2117/12/31,あべ産業株式会社,,,,,,,,,,都筑生第8658,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,あべ産業株式会社045-595-79627983114118,32ab312a-099a-47e5-8729-af27e1e7520f,あべ産業株式会社,efbcc69a-37ab-4bc3-8607-90e66cb14f54,710a02c2-8cbd-4793-8f67-f92d672eb97f,2021/11/08,あべ産業株式会社,あべ産業株式会社,あべ産業株式会社
83-038836,都筑生第8660,株式会社富澤商店,,横浜市都筑区池辺町4035-1 ららぽーと横浜 ノースコート1F,横浜市都筑区池辺町４０３５－１,ららぽーと横浜 ノースコート１F,富澤商店　ららぽーと横浜店 ,454142718,その他の食料・飲料販売業,,2021年11月4日,2117年12月31日,2021年11月4日,,141,富澤商店　ららぽーと横浜店 ,045,045-414-2718,,,,横浜市都筑区池辺町４０３５－１,神奈川県横浜市都筑区池辺町４０３５－１,ららぽーと横浜 ノースコート１F,79801,14,14118,池辺町,,2021/11/04,2021/11/04,,2117/12/31,株式会社富澤商店,,,,,,,,,,都筑生第8660,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,富澤商店ららぽと横浜店045-414-27187980114118,00141_bb76ce1e-5140-4a28-b50d-40ab06779925,株式会社富澤商店,ac8a3689-8037-464d-8a74-bfad87c51135,4e593c22-efb1-4181-9fb0-35004b46d16e,2021/11/04,富澤商店　ららぽーと横浜店　,富澤商店ららぽと横浜店,株式会社富澤商店
83-038837,都筑生指令第206,株式会社ＣＱＴ,, 横浜市内一円, 横浜市内一円,,ＣＱＴ－ｍｏｂｉｌｅ号 ,,飲食店営業,,2021年11月12日,2026年11月11日,2021年11月12日,,141,ＣＱＴ－ｍｏｂｉｌｅ号 ,,,,,, 横浜市内一円,神奈川県横浜市内一円,,,14,,,,2021/11/12,2021/11/12,,2026/11/11,株式会社ＣＱＴ,,,,,,,,,,都筑生指令第206,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ＣＱＴｍｏｂｉｌｅ号,afb931d0-19b7-4545-94c4-6d5cd39f0d39,株式会社ＣＱＴ,369fb010-7ae7-46ba-9411-99af5afa7ece,8968d16c-fce1-469e-8e30-fd188a589ddb,2021/11/12,ＣＱＴ－ｍｏｂｉｌｅ号　,ＣＱＴｍｏｂｉｌｅ号,株式会社ＣＱＴ
83-038838,都筑生第8661,横浜市,,横浜市都筑区中川3-6-6,横浜市都筑区中川３－６－６,,横浜市　中川西保育園 ,459132060,集団給食施設,,2021年11月8日,2117年12月31日,2021年11月8日,,141,横浜市　中川西保育園 ,045,045-913-2060,,,,横浜市都筑区中川３－６－６,神奈川県横浜市都筑区中川３－６－６,,79864,14,14118,中川３,,2021/11/08,2021/11/08,,2117/12/31,,横浜市 ,,,,,,,,,都筑生第8661,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,横浜市中川西保育園045-913-20607986414118,19af20d5-6137-454b-a282-b158ad938c3c,,personal,87d58ce8-0c97-4fa3-b705-99eb97714042,2021/11/08,横浜市　中川西保育園　,横浜市中川西保育園,
83-038839,都筑生第8662,特定非営利活動法人もあなキッズ自然楽校,,横浜市都筑区中川中央1-39-11 ライフ＆シニアハウス港北 1F,横浜市都筑区中川中央１－３９－１１,ライフ＆シニアハウス港北 １F,横浜市放課後児童クラブ　もあなのいえ ,454823966,集団給食施設,,2021年11月4日,2117年12月31日,2021年11月4日,,141,横浜市放課後児童クラブ　もあなのいえ ,045,045-482-3966,,,,横浜市都筑区中川中央１－３９－１１,神奈川県横浜市都筑区中川中央１－３９－１１,ライフ＆シニアハウス港北 １F,79870,14,14118,中川中央１,,2021/11/04,2021/11/04,,2117/12/31,特定非営利活動法人もあなキッズ自然楽校,,,,,,,,,,都筑生第8662,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,横浜市放課後児童クラブもあなのいえ045-482-39667987014118,05fb224d-c021-4801-bb6b-7ebd5deec50b,特定非営利活動法人もあなキッズ自然楽校,b525e4e2-9d3c-4613-8421-8472db5ecc74,1d78710e-3a92-40f7-9c05-965410ca53da,2021/11/04,横浜市放課後児童クラブ　もあなのいえ　,横浜市放課後児童クラブもあなのいえ,特定非営利活動法人もあなキッズ自然楽校
83-038846,都筑生第8669,合資会社　八百信商店,,横浜市都筑区池辺町3600,横浜市都筑区池辺町３６００,,合資会社八百信商店池辺工場 ,459386646,その他の食料品製造・加工業,,2021年11月5日,2117年12月31日,2021年11月5日,,141,合資会社八百信商店池辺工場 ,045,045-938-6646,,,,横浜市都筑区池辺町３６００,神奈川県横浜市都筑区池辺町３６００,,79801,14,14118,池辺町,,2021/11/05,2021/11/05,,2117/12/31,合資会社　八百信商店,,,,,,,,,,都筑生第8669,,その他の食料品製造・加工業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,合資会社八百信商店池辺工場045-938-66467980114118,329da8a1-19b9-4c87-b001-1dc24ebb8611,合資会社八百信商店,5815ddc9-381c-4a39-b59e-812b20fd8550,05fb3c0c-6f8d-4365-9860-2edf593eac4f,2021/11/05,合資会社八百信商店池辺工場　,合資会社八百信商店池辺工場,合資会社八百信商店
83-038847,都筑生指令第211,,菅野 謙, 横浜市内一円, 横浜市内一円,,燻製屋KEN ,455920453,飲食店営業,,2021年11月17日,2026年11月16日,2021年11月17日,,141,燻製屋KEN ,,045-592-0453,,,, 横浜市内一円,神奈川県横浜市内一円,,,14,,,,2021/11/17,2021/11/17,,2026/11/16,,菅野 謙,,,,,,,,,都筑生指令第211,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,燻製屋ＫＥＮ045-592-0453,fec09974-97ea-4c73-bc5d-9880a9f9c779,,personal,e6f5b16b-e046-4345-bb09-abb737080d7b,2021/11/17,燻製屋ＫＥＮ　,燻製屋ＫＥＮ,
83-038850,都筑生第8683,株式会社銚子丸,,横浜市都筑区牛久保2-21-12,横浜市都筑区牛久保２－２１－１２,,すし銚子丸横浜都筑店 ,459145891,その他の食料・飲料販売業,レストラン,2021年11月9日,2117年12月31日,2021年11月9日,,141,すし銚子丸横浜都筑店 ,045,045-914-5891,,,,横浜市都筑区牛久保２－２１－１２,神奈川県横浜市都筑区牛久保２－２１－１２,,79803,14,14118,牛久保２,,2021/11/09,2021/11/09,,2117/12/31,株式会社銚子丸,,,,,,,,,,都筑生第8683,,その他の食料品製造・加工業,(包装) レストラン,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,すし銚子丸横浜都筑店045-914-58917980314118,8e03aaca-100c-4999-96ff-f7c18fc677e6,株式会社銚子丸,58d01a24-b2b6-4092-85bd-d13395423135,d667aa3a-029b-4366-8894-26953c23857a,2021/11/09,すし銚子丸横浜都筑店　,すし銚子丸横浜都筑店,株式会社銚子丸
83-038851,都筑生第8685,株式会社すかいらーくレストランツ,,横浜市都筑区東山田町99,横浜市都筑区東山田町９９,,バーミヤン 東山田駅前店 ,455901174,その他の食料・飲料販売業,,2021年11月2日,2117年12月31日,2021年11月2日,,141,バーミヤン 東山田駅前店 ,045,045-590-1174,,,,横浜市都筑区東山田町９９,神奈川県横浜市都筑区東山田町９９,,79887,14,14118,東山田町,,2021/11/02,2021/11/02,,2117/12/31,株式会社すかいらーくレストランツ,,,,,,,,,,都筑生第8685,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,バミヤン東山田駅前店045-590-11747988714118,ac45db33-200f-42cd-bd81-36584a2fb341,株式会社すかいらーくレストランツ,5b4b8cde-144d-4275-b229-04b8e1f0af34,283fab86-78c8-4173-a34d-748590bb759b,2021/11/02,バーミヤン　東山田駅前店　,バミヤン東山田駅前店,株式会社すかいらーくレストランツ
83-038857,都筑生第8687,特定非営利活動法人横浜草の実会,,横浜市都筑区新栄町21-12,横浜市都筑区新栄町２１－１２,,シープ保育所 ,455925270,集団給食施設,,2021年11月11日,2117年12月31日,2021年11月11日,,141,シープ保育所 ,045,045-592-5270,,,,横浜市都筑区新栄町２１－１２,神奈川県横浜市都筑区新栄町２１－１２,,79847,14,14118,新栄町,,2021/11/11,2021/11/11,,2117/12/31,特定非営利活動法人横浜草の実会,,,,,,,,,,都筑生第8687,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,シプ保育所045-592-52707984714118,45262b8e-5971-4c25-9b8b-4d922450c262,特定非営利活動法人横浜草の実会,32c8ecdb-d6c1-44c2-af3a-3bd231f6edbb,4bb7b81d-4c8b-46a2-bb86-ff43c1035a99,2021/11/11,シープ保育所　,シプ保育所,特定非営利活動法人横浜草の実会
